Code,Outlet,Reliability,Bias,Media
V201630a,THE LATE SHOW WITH STEPHEN COLBERT,,,TV PROG
V201630b,HANNITY (FOX),19.72,25.67,TV PROG
V201630c,TUCKER CARLSON TONIGHT (FOX),20.21,23.38,TV PROG
V201630d,THE RACHEL MADDOW SHOW (MSNBC),37.94,-16.75,TV PROG
V201630e,THE LAST WORD WITH LAWRENCE O’DONNELL (MSNBC),28.21,-20.31,TV PROG
V201630f,THE FIVE (FOX),30,13.22,TV PROG
V201630g,THE INGRAHAM ANGLE (FOX),20.21,25.51,TV PROG
V201630h,THE STORY WITH MARTHA MACCALLUM (FOX),37.44,12.22,TV PROG
V201630i,THE LEAD WITH JAKE TAPPER (CNN),36.17,-16.13,TV PROG
V201630j,ANDERSON COOPER 360 (CNN),39.22,-13.27,TV PROG
V201630k,SPECIAL REPORT WITH BRET BAIER (FOX),44.42,8.47,TV PROG
V201630m,CBS EVENING NEWS WITH NORAH O’DONNELL,49.08,-5.08,TV PROG
V201630n,ABC WORLD NEWS TONIGHT,47.92,-8.1,TV PROG
V201630p,NBC NIGHTLY NEWS WITH LESTER HOLT,48.33,-5.9,TV PROG
V201630q,CUOMO PRIME TIME (CNN),30.67,-9.47,TV PROG
V201630r,NCIS (CBS),,,TV PROG
V201631a,AMERICAN IDOL (ABC),,,TV PROG
V201631b,ERIN BURNETT OUTFRONT (CNN),36.54,-10.81,TV PROG
V201631c,60 MINUTES (CBS),34.13,-9.21,TV PROG
V201631d,20/20 (ABC),,,TV PROG
V201631e,DATELINE NBC,,,TV PROG
V201631f,FACE THE NATION (CBS),48.78,-4.44,TV PROG
V201631g,MEET THE PRESS (NBC),42.67,-8,TV PROG
V201631h,CBS THIS MORNING,42.11,-4.33,TV PROG
V201631i,GOOD MORNING AMERICA (ABC),41.89,-2.78,TV PROG
V201631j,TODAY (NBC),42,-1.22,TV PROG
V201631k,FOX & FRIENDS (FOX),32.56,21,TV PROG
V201631m,MORNING JOE (MSNBC),38.4,-10,TV PROG
V201631n,ALL IN WITH CHRIS HAYES (MSNBC),22.67,-17.78,TV PROG
V201631p,THE 11TH HOUR WITH BRIAN WILLIAMS (MSNBC),35.11,-13.67,TV PROG
V201631q,PBS NEWSHOUR,46,-5.17,TV PROG
V201631r,SATURDAY NIGHT LIVE (NBC),,,TV PROG
V201633a,RUSH LIMBAUGH,16.52,26.09,RADIO PROG
V201633b,THE SEAN HANNITY SHOW,16.65,23.44,RADIO PROG
V201633c,MARKETPLACE (NPR),44.83,-2.58,RADIO PROG
V201633d,ALL THINGS CONSIDERED (NPR),43.06,-6.63,RADIO PROG
V201633e,THE DAVE RAMSEY SHOW,,,RADIO PROG
V201633f,MORNING EDITION (NPR),,,RADIO PROG
V201633g,THE MARK LEVIN SHOW,9.49,31.5,RADIO PROG
V201633h,THE GLENN BECK PROGRAM,14.44,29,RADIO PROG
V201633i,THE MIKE GALLAGHER SHOW,,,RADIO PROG
V201633j,THE HUGH HEWITT SHOW,34.56,14.44,RADIO PROG
V201633k,THE SAVAGE NATION (MICHAEL SAVAGE),11.95,28.47,RADIO PROG
V201633m,THE DANA SHOW,23,20.87,RADIO PROG
V201633n,THE THOM HARTMANN PROGRAM,23.61,-21.11,RADIO PROG
V201633p,THE JIM BOHANNON SHOW,,,RADIO PROG
V201633q,FRESH AIR (NPR),44.25,-5.81,RADIO PROG
V201634a,YAHOO NEWS (WWW.YAHOO.COM/NEWS),42.33,-6.71,WEBSITE
V201634b,CNN.COM,42.42,-7.97,WEBSITE
V201634c,HUFFINGTON POST (WWW.HUFFINGTONPOST.COM),39.65,-11.41,WEBSITE
V201634d,NEW YORK TIMES (NYTIMES.COM),42.67,-7.75,WEBSITE
V201634e,BREITBART NEWS NETWORK (BREITBART.COM),30.02,15.87,WEBSITE
V201634f,FOX NEWS (WWW.FOXNEWS.COM),35.83,13.34,WEBSITE
V201634g,WASHINGTON POST (WASHINGTONPOST.COM),38.99,-8.85,WEBSITE
V201634h,THE GUARDIAN (THEGUARDIAN.COM),42.16,-8.46,WEBSITE
V201634i,USA TODAY (USATODAY.COM),41.22,-5.09,WEBSITE
V201634j,BBC NEWS (NEWS.BBC.CO.UK),45.96,-2.39,WEBSITE
V201634k,NPR NEWS (NPR.ORG),43.25,-4.88,WEBSITE
V201634m,DAILY CALLER (DAILYCALLER.COM),30.67,16.92,WEBSITE
V201634n,BLOOMBERG (BLOOMBERG.COM),45.08,-3.05,WEBSITE
V201634p,BUZZFEED (BUZZFEED.COM),43.13,-7.75,WEBSITE
V201634q,NBC NEWS (WWW.NBCNEWS.COM),45.26,-6.68,WEBSITE
V201636a,WWW.NYTIMES.COM (NEW YORK TIMES),42.67,-7.75,ONLINE NEWSPAPER
V201636b,USA TODAY (USATODAY.COM),41.22,-5.09,ONLINE NEWSPAPER
V201636c,ONLINE.WSJ.COM (WALL STREET JOURNAL),44.84,5.35,ONLINE NEWSPAPER
V201636d,WWW.WASHINGTONPOST.COM (WASH POST),38.99,-8.85,ONLINE NEWSPAPER
